epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.383,1.38524,1.53114,1.24165,0.86256,0.72017,0.80802,0.49302,1.29164,0.93058,1.1078,0.00332935,0.00332935,0.00332935
2,229.664,1.29592,0.96315,1.11907,0.8673,0.72036,0.80767,0.50508,1.28133,0.86524,1.12458,0.00653076,0.00653076,0.00653076
3,339.569,1.31841,0.9225,1.13724,0.8517,0.67807,0.76228,0.4567,1.35236,0.95802,1.17247,0.00960018,0.00960018,0.00960018
4,448.433,1.33265,0.9058,1.14931,0.87522,0.70832,0.7916,0.49615,1.30592,0.79004,1.14526,0.009406,0.009406,0.009406
5,557.172,1.3028,0.85665,1.13883,0.88266,0.73699,0.8201,0.5185,1.27059,0.74461,1.12845,0.009208,0.009208,0.009208
6,665.858,1.27772,0.81154,1.12735,0.88345,0.75066,0.83206,0.53455,1.26385,0.70885,1.11612,0.00901,0.00901,0.00901
7,774.838,1.26087,0.78391,1.11238,0.87982,0.76347,0.8378,0.53845,1.24035,0.68898,1.10867,0.008812,0.008812,0.008812
8,883.639,1.24568,0.76938,1.10843,0.88881,0.76318,0.84069,0.54097,1.22894,0.66914,1.10036,0.008614,0.008614,0.008614
9,992.439,1.23372,0.75483,1.10315,0.88763,0.76969,0.84835,0.5506,1.21112,0.65785,1.09715,0.008416,0.008416,0.008416
10,1101.36,1.2249,0.72999,1.09953,0.88728,0.76706,0.84307,0.54933,1.21048,0.64607,1.09124,0.008218,0.008218,0.008218
11,1211.72,1.21801,0.72551,1.09577,0.90086,0.76017,0.84936,0.55239,1.21356,0.65503,1.09588,0.00802,0.00802,0.00802
12,1320.43,1.21305,0.71016,1.09139,0.89129,0.77085,0.85096,0.55612,1.19958,0.63176,1.08746,0.007822,0.007822,0.007822
13,1429.37,1.20457,0.70714,1.08849,0.88795,0.7791,0.85415,0.55664,1.20359,0.63072,1.08826,0.007624,0.007624,0.007624
14,1538.12,1.19854,0.69606,1.08505,0.89043,0.77629,0.85363,0.56144,1.19575,0.61642,1.08435,0.007426,0.007426,0.007426
15,1646.82,1.19376,0.6865,1.08332,0.89142,0.79157,0.86351,0.56654,1.19101,0.61116,1.08654,0.007228,0.007228,0.007228
16,1755.59,1.19021,0.68305,1.0799,0.89796,0.78357,0.86298,0.56807,1.18408,0.59463,1.07974,0.00703,0.00703,0.00703
17,1864.19,1.19398,0.67848,1.0823,0.89246,0.79291,0.86506,0.56939,1.18504,0.58956,1.0809,0.006832,0.006832,0.006832
18,1972.9,1.1803,0.66981,1.07788,0.9031,0.78765,0.86874,0.57297,1.18268,0.58681,1.07786,0.006634,0.006634,0.006634
19,2081.63,1.17704,0.66363,1.07253,0.88707,0.79777,0.86525,0.57399,1.16862,0.57769,1.06359,0.006436,0.006436,0.006436
20,2190.44,1.17188,0.65788,1.07406,0.88774,0.8026,0.87004,0.57659,1.17103,0.57753,1.07123,0.006238,0.006238,0.006238
21,2299.17,1.17645,0.65586,1.07,0.88782,0.79917,0.87026,0.57711,1.17231,0.57253,1.07216,0.00604,0.00604,0.00604
22,2407.88,1.16285,0.64388,1.06492,0.88384,0.80599,0.8727,0.57772,1.1729,0.56862,1.06992,0.005842,0.005842,0.005842
23,2516.76,1.16333,0.64704,1.06787,0.89445,0.80141,0.87437,0.58198,1.16152,0.55698,1.06215,0.005644,0.005644,0.005644
24,2627.89,1.16294,0.6382,1.06411,0.89959,0.79386,0.87316,0.57877,1.16636,0.56285,1.06516,0.005446,0.005446,0.005446
25,2736.62,1.15795,0.63126,1.06186,0.89382,0.79532,0.87202,0.57948,1.16254,0.55993,1.06635,0.005248,0.005248,0.005248
26,2845.18,1.15034,0.62664,1.0605,0.88658,0.80911,0.87549,0.58248,1.16017,0.55316,1.06153,0.00505,0.00505,0.00505
27,2953.93,1.14877,0.62266,1.0564,0.89308,0.80163,0.87692,0.58326,1.15719,0.54952,1.05591,0.004852,0.004852,0.004852
28,3062.48,1.14251,0.61635,1.05504,0.89044,0.80886,0.87598,0.58466,1.15632,0.54237,1.05697,0.004654,0.004654,0.004654
29,3171.07,1.13856,0.61035,1.05,0.88565,0.81142,0.87946,0.58484,1.15722,0.54142,1.05139,0.004456,0.004456,0.004456
30,3279.66,1.1471,0.61347,1.05198,0.87918,0.81921,0.88038,0.58628,1.15207,0.53994,1.05314,0.004258,0.004258,0.004258
31,3388.26,1.13209,0.60538,1.05079,0.88593,0.81183,0.87908,0.58874,1.15197,0.53871,1.05697,0.00406,0.00406,0.00406
32,3497.01,1.13269,0.60012,1.05049,0.89483,0.81163,0.882,0.58913,1.15003,0.53497,1.05528,0.003862,0.003862,0.003862
33,3605.49,1.1358,0.59749,1.04998,0.88712,0.81195,0.88276,0.58913,1.15069,0.532,1.05767,0.003664,0.003664,0.003664
34,3714,1.12872,0.59441,1.04756,0.89147,0.81348,0.88296,0.59033,1.1468,0.52868,1.05279,0.003466,0.003466,0.003466
35,3824,1.12041,0.58772,1.04495,0.88628,0.81746,0.88448,0.58943,1.14508,0.52474,1.05176,0.003268,0.003268,0.003268
36,3932.47,1.11665,0.57943,1.04263,0.88786,0.81335,0.88347,0.59217,1.14614,0.524,1.05214,0.00307,0.00307,0.00307
37,4040.92,1.1203,0.58475,1.04606,0.89778,0.81018,0.88399,0.59204,1.14543,0.52434,1.05307,0.002872,0.002872,0.002872
38,4150.2,1.11579,0.57565,1.04021,0.89091,0.81445,0.88411,0.59295,1.14268,0.52435,1.05147,0.002674,0.002674,0.002674
39,4259.25,1.11398,0.57148,1.03979,0.88987,0.8193,0.88535,0.59312,1.14336,0.5208,1.05061,0.002476,0.002476,0.002476
40,4367.71,1.10005,0.56298,1.03313,0.8919,0.82032,0.88495,0.59277,1.14309,0.51975,1.04877,0.002278,0.002278,0.002278
41,4496.15,1.09969,0.53111,1.03059,0.89002,0.81566,0.88324,0.59234,1.14597,0.5216,1.05122,0.00208,0.00208,0.00208
42,4603.43,1.09646,0.52825,1.03271,0.88732,0.81964,0.8846,0.59221,1.14467,0.51924,1.05359,0.001882,0.001882,0.001882
43,4710.74,1.09008,0.52067,1.02813,0.88852,0.81804,0.88268,0.59204,1.14564,0.51994,1.05287,0.001684,0.001684,0.001684
44,4819.41,1.08615,0.51104,1.02668,0.89318,0.81679,0.88449,0.59272,1.14596,0.51813,1.05413,0.001486,0.001486,0.001486
45,4926.9,1.08279,0.50832,1.02593,0.8997,0.8117,0.88447,0.59321,1.14391,0.51813,1.05351,0.001288,0.001288,0.001288
46,5034.24,1.07899,0.50276,1.02462,0.89255,0.81474,0.88298,0.59313,1.14369,0.52032,1.05378,0.00109,0.00109,0.00109
47,5141.78,1.07342,0.49405,1.02308,0.89364,0.81367,0.88242,0.59329,1.14344,0.5206,1.05472,0.000892,0.000892,0.000892
48,5249.3,1.06657,0.4896,1.01991,0.89134,0.81435,0.88179,0.59244,1.14403,0.5236,1.05444,0.000694,0.000694,0.000694
49,5356.76,1.06237,0.48536,1.01443,0.89061,0.81819,0.88231,0.59302,1.14414,0.52259,1.05343,0.000496,0.000496,0.000496
50,5464.22,1.05791,0.47827,1.01552,0.89203,0.81823,0.88266,0.59375,1.14386,0.52182,1.05338,0.000298,0.000298,0.000298
1,118.433,1.38524,1.53114,1.24165,0.86256,0.72017,0.80802,0.49302,1.29164,0.93058,1.1078,0.00332935,0.00332935,0.00332935
2,231.656,1.29592,0.96315,1.11907,0.8673,0.72036,0.80767,0.50508,1.28133,0.86524,1.12458,0.00653076,0.00653076,0.00653076
3,342.913,1.31841,0.9225,1.13724,0.8517,0.67807,0.76228,0.4567,1.35236,0.95802,1.17247,0.00960018,0.00960018,0.00960018
4,453.596,1.33265,0.9058,1.14931,0.87522,0.70832,0.7916,0.49615,1.30592,0.79004,1.14526,0.009406,0.009406,0.009406
5,564.498,1.3028,0.85665,1.13883,0.88266,0.73699,0.8201,0.5185,1.27059,0.74461,1.12845,0.009208,0.009208,0.009208
6,675.15,1.27772,0.81154,1.12735,0.88345,0.75066,0.83206,0.53455,1.26385,0.70885,1.11612,0.00901,0.00901,0.00901
7,785.85,1.26087,0.78391,1.11238,0.87982,0.76347,0.8378,0.53845,1.24035,0.68898,1.10867,0.008812,0.008812,0.008812
8,896.318,1.24568,0.76938,1.10843,0.88881,0.76318,0.84069,0.54097,1.22894,0.66914,1.10036,0.008614,0.008614,0.008614
9,1007.08,1.23372,0.75483,1.10315,0.88763,0.76969,0.84835,0.5506,1.21112,0.65785,1.09715,0.008416,0.008416,0.008416
10,1117.51,1.2249,0.72999,1.09953,0.88728,0.76706,0.84307,0.54933,1.21048,0.64607,1.09124,0.008218,0.008218,0.008218
11,1228.31,1.21801,0.72551,1.09577,0.90086,0.76017,0.84936,0.55239,1.21356,0.65503,1.09588,0.00802,0.00802,0.00802
12,1339.04,1.21305,0.71016,1.09139,0.89129,0.77085,0.85096,0.55612,1.19958,0.63176,1.08746,0.007822,0.007822,0.007822
13,1449.87,1.20457,0.70714,1.08849,0.88795,0.7791,0.85415,0.55664,1.20359,0.63072,1.08826,0.007624,0.007624,0.007624
14,1560.57,1.19854,0.69606,1.08505,0.89043,0.77629,0.85363,0.56144,1.19575,0.61642,1.08435,0.007426,0.007426,0.007426
15,1671.16,1.19376,0.6865,1.08332,0.89142,0.79157,0.86351,0.56654,1.19101,0.61116,1.08654,0.007228,0.007228,0.007228
16,1781.81,1.19021,0.68305,1.0799,0.89796,0.78357,0.86298,0.56807,1.18408,0.59463,1.07974,0.00703,0.00703,0.00703
17,1892.36,1.19398,0.67848,1.0823,0.89246,0.79291,0.86506,0.56939,1.18504,0.58956,1.0809,0.006832,0.006832,0.006832
18,2003.05,1.1803,0.66981,1.07788,0.9031,0.78765,0.86874,0.57297,1.18268,0.58681,1.07786,0.006634,0.006634,0.006634
19,2113.65,1.17704,0.66363,1.07253,0.88707,0.79777,0.86525,0.57399,1.16862,0.57769,1.06359,0.006436,0.006436,0.006436
20,2224.26,1.17188,0.65788,1.07406,0.88774,0.8026,0.87004,0.57659,1.17103,0.57753,1.07123,0.006238,0.006238,0.006238
21,2334.92,1.17645,0.65586,1.07,0.88782,0.79917,0.87026,0.57711,1.17231,0.57253,1.07216,0.00604,0.00604,0.00604
22,2445.65,1.16285,0.64388,1.06492,0.88384,0.80599,0.8727,0.57772,1.1729,0.56862,1.06992,0.005842,0.005842,0.005842
23,2556.46,1.16333,0.64704,1.06787,0.89445,0.80141,0.87437,0.58198,1.16152,0.55698,1.06215,0.005644,0.005644,0.005644
24,2667.11,1.16294,0.6382,1.06411,0.89959,0.79386,0.87316,0.57877,1.16636,0.56285,1.06516,0.005446,0.005446,0.005446
25,2777.75,1.15795,0.63126,1.06186,0.89382,0.79532,0.87202,0.57948,1.16254,0.55993,1.06635,0.005248,0.005248,0.005248
26,2888.4,1.15034,0.62664,1.0605,0.88658,0.80911,0.87549,0.58248,1.16017,0.55316,1.06153,0.00505,0.00505,0.00505
27,2998.91,1.14877,0.62266,1.0564,0.89308,0.80163,0.87692,0.58326,1.15719,0.54952,1.05591,0.004852,0.004852,0.004852
28,3109.54,1.14251,0.61635,1.05504,0.89044,0.80886,0.87598,0.58466,1.15632,0.54237,1.05697,0.004654,0.004654,0.004654
29,3220.16,1.13856,0.61035,1.05,0.88565,0.81142,0.87946,0.58484,1.15722,0.54142,1.05139,0.004456,0.004456,0.004456
30,3330.71,1.1471,0.61347,1.05198,0.87918,0.81921,0.88038,0.58628,1.15207,0.53994,1.05314,0.004258,0.004258,0.004258
31,3441.15,1.13209,0.60538,1.05079,0.88593,0.81183,0.87908,0.58874,1.15197,0.53871,1.05697,0.00406,0.00406,0.00406
32,3551.72,1.13269,0.60012,1.05049,0.89483,0.81163,0.882,0.58913,1.15003,0.53497,1.05528,0.003862,0.003862,0.003862
33,3662.14,1.1358,0.59749,1.04998,0.88712,0.81195,0.88276,0.58913,1.15069,0.532,1.05767,0.003664,0.003664,0.003664
34,3772.7,1.12872,0.59441,1.04756,0.89147,0.81348,0.88296,0.59033,1.1468,0.52868,1.05279,0.003466,0.003466,0.003466
35,3883.17,1.12041,0.58772,1.04495,0.88628,0.81746,0.88448,0.58943,1.14508,0.52474,1.05176,0.003268,0.003268,0.003268
36,3993.79,1.11665,0.57943,1.04263,0.88786,0.81335,0.88347,0.59217,1.14614,0.524,1.05214,0.00307,0.00307,0.00307
37,4104.33,1.1203,0.58475,1.04606,0.89778,0.81018,0.88399,0.59204,1.14543,0.52434,1.05307,0.002872,0.002872,0.002872
38,4215.07,1.11579,0.57565,1.04021,0.89091,0.81445,0.88411,0.59295,1.14268,0.52435,1.05147,0.002674,0.002674,0.002674
39,4325.62,1.11398,0.57148,1.03979,0.88987,0.8193,0.88535,0.59312,1.14336,0.5208,1.05061,0.002476,0.002476,0.002476
40,4435.99,1.10005,0.56298,1.03313,0.8919,0.82032,0.88495,0.59277,1.14309,0.51975,1.04877,0.002278,0.002278,0.002278
41,4563.19,1.09969,0.53111,1.03059,0.89002,0.81566,0.88324,0.59234,1.14597,0.5216,1.05122,0.00208,0.00208,0.00208
42,4672.07,1.09646,0.52825,1.03271,0.88732,0.81964,0.8846,0.59221,1.14467,0.51924,1.05359,0.001882,0.001882,0.001882
43,4781.02,1.09008,0.52067,1.02813,0.88852,0.81804,0.88268,0.59204,1.14564,0.51994,1.05287,0.001684,0.001684,0.001684
44,4889.79,1.08615,0.51104,1.02668,0.89318,0.81679,0.88449,0.59272,1.14596,0.51813,1.05413,0.001486,0.001486,0.001486
