figure,label,path,score,note
datasets_deepfake_vs_real60k.png,Real,data\validation\real\real_6906.jpg,,validation random pick
datasets_deepfake_vs_real60k.png,Real,data\validation\real\0001 (6466).png,,validation random pick
datasets_deepfake_vs_real60k.png,Fake,data\validation\fake\0001 (14814).jpg,,validation random pick
datasets_deepfake_vs_real60k.png,Fake,data\validation\fake\fake_14112.jpg,,validation random pick
datasets_detect_ai_generated.png,Real,data\validation\real\non-child-885.png,,saturation guided pick
datasets_detect_ai_generated.png,Real,data\validation\real\real_12717.jpg,,saturation guided pick
datasets_detect_ai_generated.png,Fake,data\validation\fake\fake_19420.jpg,,saturation guided pick
datasets_detect_ai_generated.png,Fake,data\validation\fake\fake_2342.jpg,,saturation guided pick
datasets_deepfake_and_real_images.png,Real,data\validation\real\real_2723.jpg,,face crop via YOLO
datasets_deepfake_and_real_images.png,Real,data\validation\real\real_1745.jpg,,face crop via YOLO
datasets_deepfake_and_real_images.png,Fake,data\validation\fake\fake_13622.jpg,,face crop via YOLO
datasets_deepfake_and_real_images.png,Fake,data\validation\fake\fake_8291.jpg,,face crop via YOLO
datasets_widerface.png,WIDER FACE,data\widerface\images\val\56--Voter\56_Voter_peoplevoting_56_663.jpg,,11 boxes
datasets_widerface.png,WIDER FACE,data\widerface\images\val\23--Shoppers\23_Shoppers_Shoppers_23_91.jpg,,6 boxes
datasets_widerface.png,WIDER FACE,data\widerface\images\val\11--Meeting\11_Meeting_Meeting_11_Meeting_Meeting_11_287.jpg,,5 boxes
eval_false_positive.png,Real image,data\validation\real\real_687.jpg,0.0299,Pipeline false positive
eval_false_negative.png,Fake image,data\validation\fake\fake_9686.jpg,0.4377,Pipeline recovered base FN
