path,label,score
data\validation\fake\0001 (1000).jpg,0,6.4103937802428845e-06
data\validation\fake\0001 (10012).jpg,0,8.61654643813381e-06
data\validation\fake\0001 (10024).jpg,0,1.0584834853943903e-05
data\validation\fake\0001 (10025).jpg,0,3.008389057868044e-06
data\validation\fake\0001 (10028).jpg,0,2.647112160047982e-05
data\validation\fake\0001 (10039).jpg,0,1.6786098058219068e-05
data\validation\fake\0001 (10046).jpg,0,1.035292098094942e-05
data\validation\fake\0001 (10049).jpg,0,1.9226206404709956e-06
data\validation\fake\0001 (1006).jpg,0,8.791814252617769e-06
data\validation\fake\0001 (10065).jpg,0,2.3714937924523838e-05
data\validation\fake\0001 (1008).jpg,0,3.3830829124781303e-06
data\validation\fake\0001 (10083).jpg,0,2.827535536198411e-05
data\validation\fake\0001 (10087).jpg,0,1.4498361622372613e-07
data\validation\fake\0001 (10089).jpg,0,6.709493754897267e-05
data\validation\fake\0001 (1009).jpg,0,4.713848284154665e-06
data\validation\fake\0001 (10100).jpg,0,3.1187515560304746e-05
data\validation\fake\0001 (10104).jpg,0,2.1545367872022325e-06
data\validation\fake\0001 (10108).jpg,0,9.132042578130495e-06
data\validation\fake\0001 (10109).jpg,0,0.00010898354230448604
data\validation\fake\0001 (10111).jpg,0,9.02295778359985e-06
data\validation\fake\0001 (10117).jpg,0,1.2272025742277037e-05
data\validation\fake\0001 (10122).jpg,0,7.0710589170630556e-06
data\validation\fake\0001 (10132).jpg,0,3.327452577650547e-05
data\validation\fake\0001 (10148).jpg,0,2.4462821102133603e-07
data\validation\fake\0001 (10149).jpg,0,6.890708755236119e-05
data\validation\fake\0001 (10155).jpg,0,2.2978663764661178e-05
data\validation\fake\0001 (10164).jpg,0,8.02041085989913e-06
data\validation\fake\0001 (10167).jpg,0,0.00010888735414482653
data\validation\fake\0001 (10174).jpg,0,3.154576404540421e-07
data\validation\fake\0001 (10177).jpg,0,2.134010719601065e-05
data\validation\fake\0001 (10185).jpg,0,1.0151808965019882e-05
data\validation\fake\0001 (10187).jpg,0,2.9526006528612925e-07
data\validation\fake\0001 (10193).jpg,0,8.986486136564054e-06
data\validation\fake\0001 (10198).jpg,0,3.074526466662064e-05
data\validation\fake\0001 (10201).jpg,0,7.596784598717932e-06
data\validation\fake\0001 (10216).jpg,0,9.197848953590437e-07
data\validation\fake\0001 (1022).jpg,0,8.82343556440901e-07
data\validation\fake\0001 (10222).jpg,0,2.481374110629986e-07
data\validation\fake\0001 (10223).jpg,0,2.4294076865771785e-05
data\validation\fake\0001 (10229).jpg,0,9.128377200795512e-07
data\validation\fake\0001 (10235).jpg,0,2.434356792946346e-05
data\validation\fake\0001 (10243).jpg,0,0.0005788474227301776
data\validation\fake\0001 (10252).jpg,0,1.3312418332134257e-06
data\validation\fake\0001 (10257).jpg,0,1.3998424947203603e-05
data\validation\fake\0001 (1026).jpg,0,7.197303602879401e-06
data\validation\fake\0001 (10275).jpg,0,3.0681105727126123e-06
data\validation\fake\0001 (10278).jpg,0,2.037133526755497e-06
data\validation\fake\0001 (1028).jpg,0,4.7147648729151115e-05
data\validation\fake\0001 (10281).jpg,0,1.428369250788819e-05
data\validation\fake\0001 (10282).jpg,0,1.1308225111861248e-05
data\validation\fake\0001 (10287).jpg,0,4.8584493924863636e-05
data\validation\fake\0001 (10288).jpg,0,4.314127363613807e-05
data\validation\fake\0001 (10291).jpg,0,2.5745977836777456e-05
data\validation\fake\0001 (10299).jpg,0,0.0001830168766900897
data\validation\fake\0001 (103).jpg,0,2.432236385629949e-07
data\validation\fake\0001 (10304).jpg,0,4.752005679620197e-06
data\validation\fake\0001 (10307).jpg,0,0.00013836896687280387
data\validation\fake\0001 (10308).jpg,0,1.0671932614059187e-05
data\validation\fake\0001 (10309).jpg,0,1.2744242667395156e-05
data\validation\fake\0001 (10311).jpg,0,0.0001861286727944389
data\validation\fake\0001 (10320).jpg,0,1.6657075320836157e-05
data\validation\fake\0001 (1034).jpg,0,3.051366365980357e-05
data\validation\fake\0001 (10341).jpg,0,5.175652404432185e-07
data\validation\fake\0001 (10344).jpg,0,0.00026372214779257774
data\validation\fake\0001 (10359).jpg,0,0.00012891920050606132
data\validation\fake\0001 (10365).jpg,0,9.20155173389503e-07
data\validation\fake\0001 (10366).jpg,0,1.5813944628462195e-05
data\validation\fake\0001 (10367).jpg,0,5.082566713099368e-05
data\validation\fake\0001 (1038).jpg,0,2.7886660973308608e-05
data\validation\fake\0001 (10385).jpg,0,5.616778366857034e-07
data\validation\fake\0001 (10386).jpg,0,3.307833685539663e-05
data\validation\fake\0001 (10388).jpg,0,5.28934776866663e-07
data\validation\fake\0001 (10402).jpg,0,1.4896086213411763e-05
data\validation\fake\0001 (10403).jpg,0,2.071294693450909e-05
data\validation\fake\0001 (10410).jpg,0,3.5655470128403977e-05
data\validation\fake\0001 (1042).jpg,0,2.8207543891767273e-06
data\validation\fake\0001 (10424).jpg,0,1.6320467466357513e-06
data\validation\fake\0001 (10426).jpg,0,0.0011051808251067996
data\validation\fake\0001 (10428).jpg,0,2.4297320123878308e-05
data\validation\fake\0001 (10433).jpg,0,1.140915770747597e-07
data\validation\fake\0001 (10450).jpg,0,0.00011252697731833905
data\validation\fake\0001 (10452).jpg,0,0.00010779557487694547
data\validation\fake\0001 (1046).jpg,0,0.002921097679063678
data\validation\fake\0001 (10462).jpg,0,4.070761860930361e-05
data\validation\fake\0001 (10480).jpg,0,5.907168088015169e-06
data\validation\fake\0001 (10482).jpg,0,2.5231289328075945e-05
data\validation\fake\0001 (10486).jpg,0,9.09181653696578e-06
data\validation\fake\0001 (10513).jpg,0,3.206107294317917e-06
data\validation\fake\0001 (10515).jpg,0,5.932743079029024e-06
data\validation\fake\0001 (10519).jpg,0,1.8481643564882688e-05
data\validation\fake\0001 (10539).jpg,0,2.79192818197771e-07
data\validation\fake\0001 (10541).jpg,0,9.093369044421706e-06
data\validation\fake\0001 (10544).jpg,0,3.7399906887003453e-06
data\validation\fake\0001 (10554).jpg,0,1.037781112245284e-05
data\validation\fake\0001 (1056).jpg,0,1.2713281876131077e-06
data\validation\fake\0001 (10561).jpg,0,7.594262569909915e-05
data\validation\fake\0001 (10572).jpg,0,1.5900815242275712e-06
data\validation\fake\0001 (10578).jpg,0,3.1429806313099107e-06
data\validation\fake\0001 (10582).jpg,0,0.00017253996338695288
data\validation\fake\0001 (10584).jpg,0,1.0374813427915797e-05
data\validation\fake\0001 (10588).jpg,0,5.1373041060287505e-05
data\validation\fake\0001 (10589).jpg,0,8.197293209377676e-05
